Circle,Center of Circle,Radius
1,"-772.818058258149, 246.715047361664, 0",1.02
2,"-772.818058258149, 133.715047361664, 0",1.02
3,"-659.818058258149, 246.715047361664, 0",1.02
4,"-659.818058258149, 133.715047361666, 0",1.02
