Line,StartPoint,EndPoint
1,"-776.308058258144, 247.918012007228, 0","-774.021022903709, 250.205047361664, 0"
2,"-774.021022903709, 250.205047361664, 0","-658.615093612585, 250.205047361664, 0"
3,"-658.615093612585, 250.205047361664, 0","-656.328058258151, 247.918012007229, 0"
4,"-656.328058258151, 247.918012007229, 0","-656.32805825815, 132.512082716101, 0"
5,"-656.32805825815, 132.512082716101, 0","-658.615093612586, 130.225047361663, 0"
6,"-658.615093612586, 130.225047361663, 0","-714.318058258151, 130.225047361663, 0"
7,"-719.818058258151, 130.225047361663, 0","-724.318058258151, 130.225047361663, 0"
8,"-776.308058258146, 176.669915096207, 0","-776.308058258144, 247.918012007228, 0"
